종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
137080,나래나노텍,KOSDAQ,기계·장비,"7,100",-40,-0.56,"78,521,896,200"
190510,나무가,KOSDAQ,IT부품,"14,720",-280,-1.87,"239,323,412,480"
242040,나무기술,KOSDAQ,출판·매체복제,"2,310",-25,-1.07,"79,940,469,840"
089600,나스미디어,KOSDAQ,기타서비스,"20,000",-100,-0.50,"231,363,260,000"
293580,나우IB,KOSDAQ,금융,"1,022",-10,-0.97,"97,876,940,000"
138610,나이벡,KOSDAQ,제약,"18,300",840,4.81,"187,222,596,900"
130580,나이스디앤비,KOSDAQ,기타서비스,"6,010",10,0.17,"92,554,000,000"
036800,나이스정보통신,KOSDAQ,통신서비스,"21,800",100,0.46,"218,000,000,000"
267320,나인테크,KOSDAQ,IT부품,"3,115",10,0.32,"136,013,683,960"
111710,남화산업,KOSDAQ,오락·문화,"5,650",40,0.71,"116,322,200,000"
091590,남화토건,KOSDAQ,건설,"5,290",50,0.95,"62,104,600,000"
168330,내츄럴엔도텍,KOSDAQ,기타서비스,"2,295",95,4.32,"72,877,495,500"
094860,네오리진,KOSDAQ,소프트웨어,"1,996",-54,-2.63,"42,713,539,724"
253590,네오셈,KOSDAQ,반도체,"14,300",-770,-5.11,"626,119,236,600"
212560,네오오토,KOSDAQ,운송장비·부품,"11,180",-60,-0.53,"88,042,086,340"
095660,네오위즈,KOSDAQ,디지털컨텐츠,"21,900",-200,-0.90,"482,538,446,100"
042420,네오위즈홀딩스,KOSDAQ,디지털컨텐츠,"23,050",50,0.22,"204,150,761,300"
950220,네오이뮨텍,KOSDAQ,기타서비스,"1,800",235,15.02,"177,961,437,000"
311390,네오크레마,KOSDAQ,음식료·담배,"6,690",140,2.14,"73,450,493,430"
085910,네오티스,KOSDAQ,운송장비·부품,"3,325",-45,-1.34,"46,333,269,850"
092730,네오팜,KOSDAQ,화학,"23,900",-100,-0.42,"196,155,927,900"
290660,네오펙트,KOSDAQ,의료·정밀기기,"1,269",24,1.93,"49,045,527,702"
306620,네온테크,KOSDAQ,기계·장비,"2,810",10,0.36,"117,215,235,670"
153460,네이블,KOSDAQ,소프트웨어,"7,110",0,0.00,"46,428,399,540"
007390,네이처셀,KOSDAQ,제약,"8,140",660,8.82,"522,239,249,840"
033640,네패스,KOSDAQ,반도체,"17,140","-1,510",-8.10,"395,234,722,280"
330860,네패스아크,KOSDAQ,반도체,"32,550","-2,250",-6.47,"396,590,664,750"
089140,넥스턴바이오,KOSDAQ,기계·장비,"4,570",50,1.11,"42,974,154,950"
137940,넥스트아이,KOSDAQ,의료·정밀기기,400,-11,-2.68,"31,328,396,800"
396270,넥스트칩,KOSDAQ,반도체,"12,120",80,0.66,"218,773,756,800"
348210,넥스틴,KOSDAQ,반도체,"70,800","-1,300",-1.80,"727,705,905,600"
225570,넥슨게임즈,KOSDAQ,디지털컨텐츠,"13,790",170,1.25,"907,392,618,300"
217270,넵튠,KOSDAQ,출판·매체복제,"6,770",70,1.04,"315,361,155,500"
104620,노랑풍선,KOSDAQ,기타서비스,"7,090",130,1.87,"112,320,673,340"
194700,노바렉스,KOSDAQ,음식료·담배,"9,920",360,3.77,"186,048,092,160"
285490,노바텍,KOSDAQ,기타제조,"20,600",0,0.00,"217,862,118,600"
106520,노블엠앤비,KOSDAQ,의료·정밀기기,411,0,0.00,"15,904,036,272"
376930,노을,KOSDAQ,의료·정밀기기,"2,975",-20,-0.67,"109,917,503,500"
142280,녹십자엠에스,KOSDAQ,제약,"4,520",120,2.73,"95,535,673,720"
234690,녹십자웰빙,KOSDAQ,제약,"10,500",-190,-1.78,"186,398,898,000"
065560,녹원씨엔아이,KOSDAQ,출판·매체복제,"11,540",0,0.00,"189,726,555,040"
054050,농우바이오,KOSDAQ,"농업, 임업 및 어업","8,160",30,0.37,"130,809,377,760"
069140,누리플랜,KOSDAQ,금속,"1,549",2,0.13,"20,296,148,907"
040160,누리플렉스,KOSDAQ,소프트웨어,"3,780",15,0.40,"45,569,922,300"
332290,누보,KOSDAQ,화학,"1,620",-15,-0.92,"54,083,380,860"
348340,뉴로메카,KOSDAQ,기계·장비,"39,350",-100,-0.25,"414,421,214,500"
060260,뉴보텍,KOSDAQ,화학,641,-10,-1.54,"26,639,988,845"
123840,뉴온,KOSDAQ,기계·장비,510,-17,-3.23,"51,946,940,460"
012340,뉴인텍,KOSDAQ,운송장비·부품,883,10,1.15,"44,951,024,046"
214870,뉴지랩파마,KOSDAQ,유통,"1,383",0,0.00,"64,719,014,598"
270870,뉴트리,KOSDAQ,음식료·담배,"8,690",30,0.35,"79,949,946,560"
144960,뉴파워프라즈마,KOSDAQ,기계·장비,"4,965",-20,-0.40,"216,933,878,160"
085670,뉴프렉스,KOSDAQ,IT부품,"6,830",-90,-1.30,"166,998,697,630"
064260,다날,KOSDAQ,디지털컨텐츠,"4,200",80,1.94,"289,585,968,000"
340360,다보링크,KOSDAQ,통신장비,"2,410",-45,-1.83,"104,565,590,920"
039560,다산네트웍스,KOSDAQ,통신장비,"3,885",10,0.26,"153,480,736,185"
154040,다산솔루에타,KOSDAQ,IT부품,"1,734",40,2.36,"31,125,462,996"
032190,다우데이타,KOSDAQ,유통,"13,060",20,0.15,"500,198,000,000"
068240,다원시스,KOSDAQ,IT부품,"12,940",260,2.05,"443,368,874,780"
020400,대동금속,KOSDAQ,금속,"9,530",510,5.65,"30,392,751,980"
008830,대동기어,KOSDAQ,기계·장비,"13,320","3,070",29.95,"119,713,766,400"
048470,대동스틸,KOSDAQ,금속,"3,900",80,2.09,"39,000,000,000"
004780,대륙제관,KOSDAQ,금속,"4,035",-20,-0.49,"64,169,407,965"
017650,대림제지,KOSDAQ,종이·목재,"8,660",20,0.23,"77,940,000,000"
007720,대명소노시즌,KOSDAQ,유통,557,-2,-0.36,"56,145,850,650"
389260,대명에너지,KOSDAQ,건설,"11,730",-420,-3.46,"199,996,500,000"
317850,대모,KOSDAQ,기계·장비,"9,470",220,2.38,"78,832,257,400"
290670,대보마그네틱,KOSDAQ,기계·장비,"30,700",0,0.00,"241,230,162,000"
078140,대봉엘에스,KOSDAQ,제약,"11,080",-260,-2.29,"122,839,295,320"
065150,대산F&B,KOSDAQ,유통,201,-3,-1.47,"25,181,763,405"
036480,대성미생물,KOSDAQ,제약,"10,560",40,0.38,"40,128,000,000"
027830,대성창투,KOSDAQ,금융,"1,934",-26,-1.33,"104,436,000,000"
104040,대성파인텍,KOSDAQ,운송장비·부품,"1,030",1,0.10,"32,240,319,430"
129920,대성하이텍,KOSDAQ,기계·장비,"5,800",-80,-1.36,"79,547,307,400"
438220,대신밸런스제13호스팩,KOSDAQ,금융,"2,275",0,0.00,"12,831,000,000"
442310,대신밸런스제14호스팩,KOSDAQ,금융,"2,245",0,0.00,"15,063,950,000"
457390,대신밸런스제15호스팩,KOSDAQ,금융,"2,200",-10,-0.45,"15,477,000,000"
457630,대신밸런스제16호스팩,KOSDAQ,금융,"2,620",0,0.00,"19,152,200,000"
471050,대신밸런스제17호스팩,KOSDAQ,금융,"2,360",25,1.07,"14,301,600,000"
020180,대신정보통신,KOSDAQ,컴퓨터서비스,"1,102",12,1.10,"42,348,664,330"
045390,대아티아이,KOSDAQ,일반전기전자,"3,095",5,0.16,"218,115,101,815"
108380,대양전기공업,KOSDAQ,운송장비·부품,"13,440",0,0.00,"128,584,955,520"
006580,대양제지,KOSDAQ,종이·목재,"6,710",-290,-4.14,"180,163,500,000"
007680,대원,KOSDAQ,건설,"4,895",-55,-1.11,"65,820,490,230"
048910,대원미디어,KOSDAQ,유통,"10,880",-40,-0.37,"136,858,932,480"
005710,대원산업,KOSDAQ,운송장비·부품,"6,360",40,0.63,"127,439,136,000"
290380,대유,KOSDAQ,화학,"2,300",0,0.00,"56,841,307,600"
120240,대정화금,KOSDAQ,화학,"17,340",-50,-0.29,"124,681,379,940"
003310,대주산업,KOSDAQ,음식료·담배,"1,651",28,1.73,"58,432,769,850"
078600,대주전자재료,KOSDAQ,IT부품,"97,000","-1,900",-1.92,"1,501,617,521,000"
096350,대창솔루션,KOSDAQ,금속,480,6,1.27,"78,605,284,320"
140520,대창스틸,KOSDAQ,금속,"2,565",40,1.58,"54,145,208,295"
131220,대한과학,KOSDAQ,유통,"6,140",140,2.33,"45,770,568,600"
010170,대한광통신,KOSDAQ,일반전기전자,"1,144",57,5.24,"85,240,773,904"
054670,대한뉴팜,KOSDAQ,제약,"8,390",40,0.48,"120,437,778,800"
023910,대한약품,KOSDAQ,제약,"28,150",-300,-1.05,"168,900,000,000"
021040,대호특수강,KOSDAQ,금속,"4,085",30,0.74,"44,332,000,895"
021045,대호특수강우,KOSDAQ,금속,"8,170",110,1.36,"3,466,089,820"
067080,대화제약,KOSDAQ,제약,"10,610",50,0.47,"197,522,656,500"
298540,더네이쳐홀딩스,KOSDAQ,섬유·의류,"14,630",0,0.00,"215,808,241,880"
032860,더라미,KOSDAQ,기타서비스,"3,640",0,0.00,"143,288,374,320"
393890,더블유씨피,KOSDAQ,일반전기전자,"41,500",100,0.24,"1,398,405,497,000"
299170,더블유에스아이,KOSDAQ,유통,"1,998",-17,-0.84,"59,995,870,074"
