종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"008110","대동전자","KOSPI","전기전자","6440","-60","-0.92","67558478680"
"005750","대림B&Co","KOSPI","비금속광물","3790","40","1.07","63187789600"
"006570","대림통상","KOSPI","기계","3005","-25","-0.83","45751125000"
"001680","대상","KOSPI","음식료품","19710","250","1.28","682912572750"
"001685","대상우","KOSPI","음식료품","18140","-270","-1.47","24855845220"
"084690","대상홀딩스","KOSPI","기타금융","10180","-40","-0.39","368643636840"
"084695","대상홀딩스우","KOSPI","기타금융","22800","-1300","-5.39","20827389600"
"128820","대성산업","KOSPI","유통업","3735","10","0.27","168954510330"
"117580","대성에너지","KOSPI","전기가스업","8280","-20","-0.24","227700000000"
"016710","대성홀딩스","KOSPI","서비스업","9460","60","0.64","152206282140"
"003540","대신증권","KOSPI","증권","17750","0","0.00","901227850000"
"003547","대신증권2우B","KOSPI","증권","15770","140","0.90","157700000000"
"003545","대신증권우","KOSPI","증권","16290","190","1.18","423540000000"
"009190","대양금속","KOSPI","철강금속","2445","-55","-2.20","94442892750"
"014160","대영포장","KOSPI","종이목재","1902","0","0.00","206166432198"
"047040","대우건설","KOSPI","건설업","3815","-25","-0.65","1585600363970"
"009320","대우부품","KOSPI","운수장비","1271","19","1.52","62660007670"
"003090","대웅","KOSPI","의약품","21200","700","3.41","1232609976000"
"069620","대웅제약","KOSPI","의약품","119300","-1500","-1.24","1382278397500"
"000430","대원강업","KOSPI","운수장비","5340","-70","-1.29","331080000000"
"006340","대원전선","KOSPI","전기전자","1442","-12","-0.83","103772858028"
"006345","대원전선우","KOSPI","전기전자","2595","-80","-2.99","6802014000"
"003220","대원제약","KOSPI","의약품","15310","90","0.59","339731870140"
"024890","대원화성","KOSPI","화학","1851","6","0.33","76352180352"
"002880","대유에이텍","KOSPI","운수장비","1252","-38","-2.95","58523513040"
"000300","대유플러스","KOSPI","전기전자","241","0","0.00","30475633069"
"012800","대창","KOSPI","철강금속","1429","-18","-1.24","130239773071"
"015230","대창단조","KOSPI","운수장비","5540","20","0.36","158290154200"
"001070","대한방직","KOSPI","섬유의복","7280","-60","-0.82","38584000000"
"006650","대한유화","KOSPI","화학","134400","4600","3.54","873600000000"
"001440","대한전선","KOSPI","전기전자","10340","70","0.68","1286785082000"
"084010","대한제강","KOSPI","철강금속","13510","-90","-0.66","316328503470"
"001790","대한제당","KOSPI","음식료품","3195","40","1.27","286580573100"
"001795","대한제당우","KOSPI","음식료품","2805","-25","-0.88","18184141800"
"001130","대한제분","KOSPI","음식료품","132400","1300","0.99","223756000000"
"003490","대한항공","KOSPI","운수창고업","21800","50","0.23","8027210409800"
"003495","대한항공우","KOSPI","운수창고업","24550","-50","-0.20","27269992700"
"005880","대한해운","KOSPI","운수창고업","1901","0","0.00","606756351460"
"003830","대한화섬","KOSPI","화학","115800","800","0.70","153782400000"
"016090","대현","KOSPI","섬유의복","1966","1","0.05","87059021460"
"069460","대호에이엘","KOSPI","철강금속","1073","16","1.51","72475673408"
"192080","더블유게임즈","KOSPI","서비스업","42250","-150","-0.35","908202028500"
